region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
portland,19500,1988.0,chevrolet,camaro,,,gas,49288.0,clean,automatic,,,,,or,33.6372,-96.6184
seattle-tacoma,0,2016.0,toyota,rav4 se,,4 cylinders,gas,69584.0,clean,automatic,4wd,,SUV,,wa,47.227596,-122.46426
little rock,14653,2017.0,kia,soul,,,gas,47518.0,clean,automatic,fwd,,hatchback,,ar,38.4018,-93.785
east oregon,15000,2004.0,toyota,tundra,excellent,8 cylinders,gas,145120.0,clean,automatic,rwd,full-size,pickup,white,or,45.3304,-118.0852
inland empire,4500,2008.0,,Nissa versa,,4 cylinders,gas,38000.0,clean,automatic,,,,,ca,34.0584,-117.6665
inland empire,11900,2016.0,nissan,sentra,excellent,4 cylinders,gas,77256.0,clean,automatic,fwd,,sedan,black,ca,33.875576,-117.57038
philadelphia,9995,2012.0,ford,flex,excellent,,gas,129230.0,clean,automatic,fwd,,SUV,silver,pa,40.185944,-74.74987
jacksonville,1,2014.0,mercedes-benz,cls550,excellent,10 cylinders,gas,48433.0,clean,other,4wd,mid-size,coupe,black,fl,28.466087,-81.39643
fresno / madera,15950,2013.0,ford,explorer,excellent,4 cylinders,gas,89802.0,clean,automatic,fwd,mid-size,SUV,white,ca,36.905853,-119.7943
wilmington,0,2019.0,volkswagen,atlas,,6 cylinders,gas,50273.0,clean,automatic,4wd,,SUV,silver,nc,34.24983,-77.86069
"quad cities, IA/IL",29950,2014.0,ford,f-150 king ranch 4x4 ecoboo,,,gas,79752.0,clean,automatic,,,,,il,44.8346,-91.5159
los angeles,31990,2019.0,lexus,ux 250h sport utility 4d,good,,gas,14232.0,clean,other,,,hatchback,silver,ca,33.75,-118.2
eugene,20995,2011.0,chevrolet,,excellent,8 cylinders,other,22139.0,clean,automatic,rwd,,van,white,or,44.0612,-123.1555
maine,19995,2011.0,toyota,tacoma,excellent,,gas,108000.0,clean,automatic,4wd,,pickup,black,me,43.188725,-71.50493
hickory / lenoir,31988,2006.0,,INTERNATIONAL 4300 BUCKET TRUCK,excellent,6 cylinders,diesel,179739.0,clean,automatic,rwd,full-size,truck,white,nc,26.0218,-80.1891
houston,5800,2001.0,acura,mdx,good,6 cylinders,gas,120120.0,rebuilt,automatic,4wd,,,,tx,29.5511,-95.7329
"kansas city, MO",8950,1994.0,ford,,good,8 cylinders,gas,123456.0,clean,automatic,rwd,mid-size,convertible,red,ks,38.949635,-95.02999
